Al,Ca,Type
1.1,8.75,1
1.36,7.83,1
1.54,7.78,1
1.29,8.22,1
1.24,8.07,1
1.62,8.07,1
1.14,8.17,1
1.05,8.24,1
1.37,8.3,1
1.36,8.4,1
1.56,8.09,1
1.27,8.56,1
1.4,8.05,1
1.27,8.38,1
1.31,8.5,1
1.23,8.39,1
1.16,8.7,1
0.89,9.15,1
1.18,8.89,1
1.69,8.44,1
1.49,8.52,1
0.29,9.0,1
1.29,8.7,1
1.35,8.59,1
1.15,8.43,1
1.21,8.53,1
1.41,8.43,1
1.33,8.43,1
1.43,8.54,1
1.28,8.49,1
1.3,8.69,1
1.14,8.55,1
1.23,8.56,1
1.38,8.55,1
1.34,8.75,1
1.21,8.57,1
1.32,8.78,1
1.35,8.68,1
0.47,9.57,1
0.47,9.57,1
1.12,8.77,1
1.2,8.64,1
1.33,8.59,1
0.72,9.74,1
1.19,8.76,1
1.35,9.0,1
1.18,8.83,1
0.71,9.82,1
0.79,10.02,1
1.23,8.91,1
0.51,10.06,1
1.28,9.14,1
1.19,9.03,1
1.28,9.07,1
1.29,9.02,1
1.29,9.06,1
1.12,8.35,1
1.29,8.43,1
1.17,8.03,1
1.19,8.27,1
1.11,8.76,1
1.32,8.67,1
0.88,9.54,1
0.78,9.69,1
0.9,9.61,1
1.12,9.4,1
0.87,9.85,1
0.87,9.85,1
0.9,9.82,1
0.82,10.17,1
1.74,7.36,2
1.27,8.32,2
1.52,7.83,2
1.57,7.89,2
1.54,7.9,2
1.51,7.96,2
1.54,8.03,2
1.54,8.04,2
1.25,7.94,2
1.9,7.97,2
2.12,7.97,2
1.43,7.86,2
1.25,8.1,2
1.55,8.05,2
2.08,7.08,2
1.49,8.21,2
1.47,8.03,2
1.52,8.08,2
1.48,8.12,2
1.87,8.08,2
1.11,8.96,2
1.45,8.27,2
1.58,8.39,2
1.47,8.22,2
1.49,8.24,2
1.43,8.6,2
1.06,9.13,2
1.16,8.9,2
1.71,8.54,2
1.43,8.79,2
1.44,8.79,2
1.63,9.23,2
0.83,9.42,2
0.66,11.64,2
1.17,10.79,2
1.88,13.24,2
2.1,13.3,2
1.0,16.19,2
1.0,11.52,2
0.56,10.99,2
0.77,14.68,2
0.75,14.96,2
0.67,14.4,2
1.26,8.21,2
1.19,8.43,2
1.33,8.28,2
1.41,8.31,2
1.81,7.88,2
1.53,8.03,2
1.47,7.96,2
1.32,8.42,2
1.62,8.03,2
1.48,8.1,2
1.71,7.99,2
1.15,8.52,2
1.56,8.55,2
1.26,8.6,2
1.43,9.85,2
1.67,9.57,2
1.63,10.56,2
1.36,11.14,2
1.36,13.44,2
1.18,8.15,2
1.54,8.21,2
1.25,8.12,2
1.3,8.44,2
1.08,8.38,2
1.57,8.11,2
1.54,7.9,2
1.64,7.99,2
1.61,8.11,2
1.07,8.41,2
1.44,8.23,2
1.79,8.18,2
1.23,8.81,2
1.24,8.68,2
1.11,8.6,3
1.34,8.33,3
1.38,8.44,3
1.35,8.53,3
1.76,8.38,3
0.83,9.49,3
0.65,8.93,3
1.22,8.32,3
1.31,8.79,3
1.26,8.58,3
1.28,8.65,3
0.58,9.65,3
1.52,8.79,3
1.63,8.81,3
1.54,8.99,3
0.75,8.89,3
0.91,9.14,3
3.5,5.87,5
1.86,10.09,5
1.56,11.41,5
1.56,11.62,5
1.65,11.53,5
1.83,10.17,5
1.76,11.32,5
1.58,12.24,5
3.04,6.96,5
3.02,6.93,5
1.4,12.5,5
2.17,9.7,5
1.51,11.27,5
1.56,9.57,6
1.19,9.77,6
1.62,9.26,6
1.66,9.32,6
1.54,7.59,6
1.74,9.95,6
2.09,10.88,6
0.56,11.22,6
0.34,6.65,6
1.81,5.43,7
2.22,5.79,7
1.23,8.83,7
2.06,9.76,7
1.31,8.61,7
1.79,8.67,7
2.38,8.76,7
2.79,9.04,7
2.0,8.53,7
1.98,8.52,7
2.68,9.07,7
2.54,9.41,7
2.34,8.95,7
2.66,9.08,7
2.51,8.83,7
2.25,8.34,7
1.19,8.93,7
2.42,8.39,7
1.99,8.28,7
2.27,8.71,7
1.8,8.61,7
1.87,8.67,7
1.82,6.47,7
2.74,9.45,7
2.88,9.18,7
1.99,8.4,7
2.02,8.44,7
1.94,8.48,7
2.08,8.62,7
